,Position X (m),Position Y (m),Position Z (m)
63,-32593670513.08515,52008224362.932236,6793641261.629063
64,-69751611462.83804,33834005304.17882,10033144356.507097
65,-92545641620.17812,8693242967.00002,11213799781.537548
66,-104232768822.88275,-17503922568.666588,11052217978.769518
67,-107350144053.37259,-42277637648.65427,9984119536.41286
68,-103636696443.63806,-64378122619.56967,8282194517.483425
69,-94313716709.57855,-83012808307.18988,6133047040.484563
70,-80293371270.1934,-97535048847.82341,3679203843.7965393
71,-62322335789.97046,-107286323226.09692,1044785488.776228
72,-41101606884.243034,-111483251997.55806,-1644155271.803835
73,-17429213257.148907,-109098694155.06494,-4236311845.2277703
74,7553056874.25428,-98701330845.62857,-6517408063.234279
75,31803729355.528805,-78239095834.50453,-8133573439.1066475
76,50902382127.54517,-44967464736.22743,-8416554671.090274
77,54096614896.5486,2416707154.230667,-6050757028.881455
78,23634206602.54624,48180027437.47174,104302661.50904942
79,-21741632332.70939,62861547185.52153,6187099141.140025
80,-59839320239.93435,56867211382.843506,10237730661.213005
81,-87717038197.83696,41204939937.179886,12551727410.538748
82,-106367091589.37137,21212744542.37235,13551441837.304857
83,-117016397305.59233,-381104914.7482567,13535768126.259466
84,-120626421761.86433,-21962843425.705223,12708698925.42352
85,-117896149769.96254,-42404471765.09625,11215933507.992903
86,-109326919200.61739,-60764180502.88478,9169636291.639004
87,-95285183041.8038,-76106192625.36346,6666068499.726143
88,-76067215275.39836,-87347465194.68948,3801895003.807113
89,-51996336394.06726,-93068775351.59523,696296840.9344702
90,-23637849807.469257,-91214772964.28584,-2466931407.5754266
91,7591845162.839104,-78572046462.6955,-5339002440.69738
92,37408452527.76622,-50089595458.05661,-7134264994.975698
93,52212433917.043884,-1249842153.3833618,-6023181399.183679
94,30527420888.572243,48335613135.93438,-659488260.9314833
95,-7158007708.324402,71938729010.17249,5051217202.64362
96,-42830407050.11796,76954618442.00133,9457416651.526478
97,-72400472641.73318,71147041769.62978,12535227815.70237
98,-95320321770.58014,58847382973.58746,14471316782.347065
99,-111754293836.66908,42559199912.6306,15429070266.077957
100,-121941427151.99443,23896000033.999245,15529146669.10661
